SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,NA,Condo/Co-op,737 Olive Way #3606,Seattle,WA,98101,775000,1,1,Downtown,808,NA,2009,8,959,758,Active,NA,NA,https://www.redfin.com/WA/Seattle/737-Olive-Way-98101/unit-3606/home/21882982,NWMLS as Distributed by MLS Grid,2309565,N,Y,47.6138021,-122.3344075
MLS Listing,NA,Condo/Co-op,1000 Bellevue Pl E #2,Seattle,WA,98102,378000,1,1,Capitol Hill,597,NA,1985,8,633,480,Active,NA,NA,https://www.redfin.com/WA/Seattle/1000-Bellevue-Pl-E-98102/unit-2/home/7358,NWMLS as Distributed by MLS Grid,2310646,N,Y,47.627234,-122.3250783
MLS Listing,NA,Condo/Co-op,3710 27th Pl W #208,Seattle,WA,98199,345000,1,1,Magnolia,658,NA,1968,8,524,507,Active,NA,NA,https://www.redfin.com/WA/Seattle/3710-27th-Pl-W-98199/unit-208/home/66802,NWMLS as Distributed by MLS Grid,2309893,N,Y,47.6532847,-122.3911234
MLS Listing,NA,Condo/Co-op,819 Virginia St #1806,Seattle,WA,98101,495000,1,1,Denny Triangle,738,14389,2006,8,671,763,Active,NA,NA,https://www.redfin.com/WA/Seattle/819-Virginia-St-98101/unit-1806/home/12304691,NWMLS as Distributed by MLS Grid,2310654,N,Y,47.6160389,-122.3357053
MLS Listing,NA,Condo/Co-op,2040 43rd Ave E #103,Seattle,WA,98102,550000,1,1,Madison Park,553,NA,1961,9,995,723,Active,NA,NA,https://www.redfin.com/WA/Seattle/2040-43rd-Ave-E-98112/unit-103/home/27306,NWMLS as Distributed by MLS Grid,2310714,N,Y,47.6383168,-122.2763533
MLS Listing,NA,Condo/Co-op,13201 Linden Ave N Unit 410A,Seattle,WA,98133,289500,1,1,Bitter Lake,662,NA,1969,9,437,328,Active,NA,NA,https://www.redfin.com/WA/Seattle/13201-Linden-Ave-N-98133/unit-410A/home/52331,NWMLS as Distributed by MLS Grid,2310474,N,Y,47.725471,-122.349235
MLS Listing,NA,Condo/Co-op,1250 Taylor Ave N #204,Seattle,WA,98109,450000,1,1,Queen Anne,882,NA,1978,9,510,451,Active,NA,NA,https://www.redfin.com/WA/Seattle/1250-Taylor-Ave-N-98109/unit-204/home/24297,NWMLS as Distributed by MLS Grid,2310482,N,Y,47.6310523,-122.3458907
MLS Listing,NA,Condo/Co-op,6300 32nd Ave NW #302,Seattle,WA,98107,475000,1,1,Sunset Hill,841,NA,1997,9,565,568,Active,November-22-2024 03:00 PM,November-22-2024 06:00 PM,https://www.redfin.com/WA/Seattle/6300-32nd-Ave-NW-98107/unit-302/home/193512743,NWMLS as Distributed by MLS Grid,2310393,N,Y,47.6746002,-122.398119
MLS Listing,NA,Condo/Co-op,2015 Terry Ave #106,Seattle,WA,98121,355000,1,1,Denny Triangle,781,NA,2004,10,455,584,Active,NA,NA,https://www.redfin.com/WA/Seattle/2015-Terry-Ave-98121/unit-106/home/12091021,NWMLS as Distributed by MLS Grid,2310246,N,Y,47.6172912,-122.3358101
MLS Listing,NA,Condo/Co-op,2510 6th Ave #1804,Seattle,WA,98121,809998,1,1,Belltown,814,NA,2021,10,995,925,Active,NA,NA,https://www.redfin.com/WA/Seattle/2510-6th-Ave-98121/unit-1804/home/176138990,NWMLS as Distributed by MLS Grid,2307932,N,Y,47.6180481,-122.3445132
